id, ISIN,period,date_start,date_end,PL,perf,perfann,vol,maxDD
13,FR0000120271,Global,31/12/2010,11/02/2016,-4.325,-0.109079445145019,-0.0223155004890709,0.235774181786117,-0.352072633895818
13,FR0000120271,2011,31/12/2010,30/12/2011,-0.149999999999999,-0.00378310214375788,-0.00378310214375788,0.244858432964143,-0.316032425129475
13,FR0000120271,2012,30/12/2011,31/12/2012,-0.490000000000002,-0.0124050632911393,-0.0124050632911393,0.202087969501274,-0.212412177985948
13,FR0000120271,2013,31/12/2012,31/12/2013,5.52,0.14150217892848,0.14150217892848,0.16554626517621,-0.132200886262925
13,FR0000120271,2014,31/12/2013,31/12/2014,-2.01,-0.0451381091399057,-0.0451381091399057,0.241915004671101,-0.277879677182685
13,FR0000120271,2015,31/12/2014,31/12/2015,-1.255,-0.0295155221072437,-0.0295155221072437,0.284646530044012,-0.277879677182685
13,FR0000120271,2016,31/12/2015,11/02/2016,-5.94,-0.143947655398037,-0.740942811773064,0.387067468335046,-0.241958182549256
14,FR0000121261,Global,31/12/2010,11/02/2016,24.73,0.460521415270019,0.0768227326611983,0.291152685020935,-0.399173919457147
14,FR0000121261,2011,31/12/2010,30/12/2011,-8.02500000000001,-0.149441340782123,-0.149441340782123,0.397766158285663,-0.399173919457147
14,FR0000121261,2012,30/12/2011,31/12/2012,25.915,0.567378215654078,0.567378215654078,0.311904307697116,-0.205084163517691
14,FR0000121261,2013,31/12/2012,31/12/2013,5.66,0.0790613214136051,0.0790613214136051,0.252452733340906,-0.198809040465557
14,FR0000121261,2014,31/12/2013,31/12/2014,-1.98,-0.0256310679611651,-0.0256310679611651,0.212194935974257,-0.294086251067464
14,FR0000121261,2015,31/12/2014,31/12/2015,12.63,0.167795934635313,0.167795934635313,0.246127582517655,-0.294086251067464
14,FR0000121261,2016,31/12/2015,11/02/2016,-9.47,-0.10773606370876,-0.62866699728091,0.286139695101564,-0.23273607748184
15,FR0000133308,Global,31/12/2010,11/02/2016,-0.955,-0.0612375761462007,-0.0122717183823703,0.276924728702037,-0.57059891107078
15,FR0000133308,2011,31/12/2010,30/12/2011,-3.46,-0.221865982686759,-0.221865982686759,0.248462108943201,-0.310949788263763
15,FR0000133308,2012,30/12/2011,31/12/2012,-3.796,-0.312814173877215,-0.312814173877215,0.262197732746859,-0.357507082152975
15,FR0000133308,2013,31/12/2012,31/12/2013,0.661,0.0792660990526441,0.0792660990526441,0.269197081995639,-0.221539811362141
15,FR0000133308,2014,31/12/2013,31/12/2014,5.15,0.572222222222222,0.572222222222222,0.279916456363958,-0.178766588602654
15,FR0000133308,2015,31/12/2014,31/12/2015,1.335,0.0943462897526501,0.0943462897526501,0.313402729191841,-0.178766588602654
15,FR0000133308,2016,31/12/2015,11/02/2016,-0.844999999999999,-0.0545689376816273,-0.385938400291475,0.330569764521721,-0.218237082066869
16,DE0007664005,Global,31/12/2010,11/02/2016,4.254,0.0403031738512554,0.00775040858341258,0.325623746357654,-0.589655310460787
16,DE0007664005,2011,31/12/2010,30/12/2011,-2.28099999999999,-0.0216106110847939,-0.0216106110847939,0.396726316644045,-0.37837443455421
16,DE0007664005,2012,30/12/2011,31/12/2012,59.736,0.578450454637887,0.578450454637887,0.282948384954557,-0.160685354446245
16,DE0007664005,2013,31/12/2012,31/12/2013,33.995,0.208551884911506,0.208551884911506,0.251372285954063,-0.242328649268712
16,DE0007664005,2014,31/12/2013,31/12/2014,-16,-0.0812182741116751,-0.0812182741116751,0.210408392062244,-0.240729751525388
16,DE0007664005,2015,31/12/2014,31/12/2015,-38.5,-0.212707182320442,-0.212707182320442,0.41182899396635,-0.240729751525388
16,DE0007664005,2016,31/12/2015,11/02/2016,-32.696,-0.229445614035088,-0.896183413346234,0.488479922147669,-0.589655310460787
17,FR0010428771,Global,31/12/2010,11/02/2016,-1.0204,-0.355490523968785,-0.082250530995659,0.407088191507795,-0.6984678808762
17,FR0010428771,2011,31/12/2010,30/12/2011,-1.0952,-0.381549609810479,-0.381549609810479,0.2672596764074,-0.461543194683731
17,FR0010428771,2012,30/12/2011,31/12/2012,-0.31,-0.174628210905813,-0.174628210905813,0.371515654531837,-0.431804753897196
17,FR0010428771,2013,31/12/2012,31/12/2013,-0.2538,-0.173218673218673,-0.173218673218673,0.312746537541636,-0.369791666666667
17,FR0010428771,2014,31/12/2013,31/12/2014,0.2229,0.184001981178801,0.184001981178801,0.221993770821131,-0.239054858287667
